,svspp,cruise6,station,pdsex,pdid,pdlen,pdwgt,sizecat,pdgutw,pdgutv,fhdat,stratum,beglat,beglon,declat,declon,month,day,year,purcode,season,geoarea,pynam,gencat,gensci,analcat,analsci,collcat,collsci,pynum,pyamtw,pyamtv,pdscinam,pdcomnam,location
35978,141,197702,18,2,1,24,NA,S,0,0,,1700,3750,7415,37.8333,74.25,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35979,141,197702,18,2,2,35,NA,M,0,0,,1700,3750,7415,37.8333,74.25,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35980,141,197702,18,2,3,27,NA,M,0.26,0.23,,1700,3750,7415,37.8333,74.25,3,21,1977,10,SPRING,MAB,PLEURONECTIFORMES,FISH,FISH,PLEORD,PLEURONECTIFORMES,PLEORD,PLEURONECTIFORMES,1,0.26,0.23,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35981,141,197702,18,2,4,29,NA,M,1.76,1.6,,1700,3750,7415,37.8333,74.25,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,1.76,1.6,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35982,141,197702,18,2,5,24,NA,S,1.54,1.4,,1700,3750,7415,37.8333,74.25,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,1.54,1.4,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35990,141,197702,20,0,2,8,NA,S,0.01,0.01,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CALANUS FINMARCHICUS,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35991,141,197702,20,0,2,8,NA,S,0.01,0.01,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CENTROPAGES SP,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,28,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35992,141,197702,20,0,2,8,NA,S,0.01,0.01,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,STENOPLEUSTES GRACILIS,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,GAMMAR,GAMMARIDEA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35993,141,197702,20,1,3,33,NA,M,1.06,0.96,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,PLEUROBRANCHAEA SP,MOLLUS,MOLLUSCA,GASTRO,GASTROPODA,GASTRO,GASTROPODA,1,1.06,0.96,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35994,141,197702,20,1,7,19,NA,S,0.18,0.17,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,0.16,0.15,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35995,141,197702,20,1,7,19,NA,S,0.18,0.17,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CENTROPAGES SP,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,81,0.02,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35996,141,197702,20,2,1,40,NA,M,0.02,0.02,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,POLYCHAETA,ANNELI,ANNELIDA,ANNELI,ANNELIDA,POLYCH,POLYCHAETA,1,0.02,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35997,141,197702,20,2,4,26,NA,M,0.27,0.25,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,PAGURIDAE,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,PAGFAM,PAGUROIDEA,NA,0.27,0.25,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35998,141,197702,20,2,5,26,NA,M,0.8,0.73,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,2,0.8,0.73,CENTROPRISTIS STRIATA,BLACK SEA BASS,
35999,141,197702,20,2,6,32,NA,M,0.71,0.65,,1660,3718,7435,37.3,74.5833,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,0.71,0.65,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36069,141,197702,23,1,3,21,NA,S,0.41,0.37,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,0.41,0.37,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36070,141,197702,23,1,5,24,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36071,141,197702,23,2,1,25,NA,S,0.39,0.35,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,MUNIDA IRIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,5,0.39,0.35,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36072,141,197702,23,2,2,24,NA,S,0.21,0.19,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,0.07,0.07,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36073,141,197702,23,2,2,24,NA,S,0.21,0.19,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,DECAPODA,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECAPO,DECAPODA,NA,0.02,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36074,141,197702,23,2,2,24,NA,S,0.21,0.19,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,HYAS SP,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,1,0.03,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36075,141,197702,23,2,2,24,NA,S,0.21,0.19,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,MUNIDA IRIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,2,0.09,0.08,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36076,141,197702,23,2,4,19,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36077,141,197702,23,2,6,20,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36078,141,197702,23,2,7,18,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36079,141,197702,23,2,8,24,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36080,141,197702,23,2,9,19,NA,S,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36081,141,197702,23,2,10,44,NA,M,0,0,,1660,3654,7443,36.9,74.7167,3,21,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36127,141,197702,27,2,1,43,NA,M,11.5,10.45,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,APHRODITA HASTATA,ANNELI,ANNELIDA,ANNELI,ANNELIDA,APHFAM,APHRODITIDAE,1,10.08,9.16,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36128,141,197702,27,2,1,43,NA,M,11.5,10.45,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,ENSIS DIRECTUS,MOLLUS,MOLLUSCA,BIVALV,BIVALVIA,BIVALV,BIVALVIA,2,1.42,1.29,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36129,141,197702,27,2,2,27,NA,M,0.22,0.2,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,FISH,FISH,FISH,OTHFIS,OTHER FISH,OTHFIS,OTHER FISH,3,0.03,0.03,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36130,141,197702,27,2,2,27,NA,M,0.22,0.2,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,HYPERIIDAE,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,HYPFAM,HYPERIIDAE,16,0.15,0.14,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36131,141,197702,27,2,2,27,NA,M,0.22,0.2,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,MUNIDA IRIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,NA,0.04,0.04,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36132,141,197702,27,2,3,27,NA,M,0,0,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,0,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36133,141,197702,27,2,4,27,NA,M,0.18,0.16,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,PAGURUS POLLICARIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,PAGFAM,PAGUROIDEA,1,0.18,0.16,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36134,141,197702,27,2,5,33,NA,M,7.71,7.01,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,7.17,6.52,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36135,141,197702,27,2,5,33,NA,M,7.71,7.01,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,OVALIPES OCELLATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,1,0.54,0.49,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36136,141,197702,27,2,6,37,NA,M,16.18,14.71,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,3,13.99,12.72,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36137,141,197702,27,2,6,37,NA,M,16.18,14.71,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,ENSIS DIRECTUS,MOLLUS,MOLLUSCA,BIVALV,BIVALVIA,BIVALV,BIVALVIA,1,2.1,1.91,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36138,141,197702,27,2,6,37,NA,M,16.18,14.71,,1610,3619,7457,36.3167,74.95,3,22,1977,10,SPRING,MAB,MOLLUSCA SHELL,MOLLUS,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUS,MOLLUSCA,1,0.09,0.08,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36235,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,CANCER IRRORATUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,2.16,1.97,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36236,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,CERIANTHIDAE,CNIDAR,CNIDARIA,CNIDAR,CNIDARIA,ANTHOZ,ANTHOZOA,1,0.7,0.64,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36237,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,CREPIDULA PLANA,MOLLUS,MOLLUSCA,GASTRO,GASTROPODA,GASTRO,GASTROPODA,1,0.01,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36238,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,MOLLUSCA SHELL,MOLLUS,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUS,MOLLUSCA,2,3.38,3.07,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36239,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,ONUPHIS EREMITA,ANNELI,ANNELIDA,ANNELI,ANNELIDA,POLYCH,POLYCHAETA,3,0.43,0.39,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36240,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,PAGURUS LONGICARPUS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,PAGFAM,PAGUROIDEA,1,0.53,0.48,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36241,141,197702,45,1,1,52,NA,L,8.91,8.1,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,PAGURUS POLLICARIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,PAGFAM,PAGUROIDEA,1,1.7,1.55,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36242,141,197702,45,1,2,48,NA,M,0.12,0.11,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,FISH,FISH,FISH,OTHFIS,OTHER FISH,OTHFIS,OTHER FISH,1,0.12,0.11,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36243,141,197702,45,1,3,43,NA,M,3.29,2.99,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,CANCRIDAE,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CANFAM,CANCRIDAE,1,0.25,0.23,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36244,141,197702,45,1,3,43,NA,M,3.29,2.99,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,CHAETOGNATHA,CHAETO,CHAETOGNATHA,CHAETO,CHAETOGNATHA,CHAETO,CHAETOGNATHA,3,0.01,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36245,141,197702,45,1,3,43,NA,M,3.29,2.99,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,FISH,FISH,FISH,OTHFIS,OTHER FISH,OTHFIS,OTHER FISH,1,2.66,2.42,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36246,141,197702,45,1,3,43,NA,M,3.29,2.99,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,OPHICHTHIDAE,FISH,FISH,ANGORD,ANGUILLIFORMES,OPHFA1,OPHICHTHIDAE,1,0.35,0.32,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36247,141,197702,45,1,3,43,NA,M,3.29,2.99,,1610,3549,7504,35.8167,75.0667,3,24,1977,10,SPRING,MAB,POLYNOIDAE,ANNELI,ANNELIDA,ANNELI,ANNELIDA,POLYCH,POLYCHAETA,1,0.02,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36300,141,197702,48,1,4,19,NA,S,3.36,3.05,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CALANUS FINMARCHICUS,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,3,0.01,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36301,141,197702,48,1,4,19,NA,S,3.36,3.05,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,24,3.35,3.05,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36302,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,AMPELISCA SP,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,GAMMAR,GAMMARIDEA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36303,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CALANUS FINMARCHICUS,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,4,0.01,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36304,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,FISH,FISH,FISH,OTHFIS,OTHER FISH,OTHFIS,OTHER FISH,1,0.18,0.17,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36305,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,58,8.73,7.94,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36306,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MUNIDA SP,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,NA,0.01,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36307,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,POLYCHAETA,ANNELI,ANNELIDA,ANNELI,ANNELIDA,POLYCH,POLYCHAETA,NA,0.04,0.04,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36308,141,197702,48,1,7,21,NA,S,9.02,8.2,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,SAND,MISC,MISCELLANEOUS,MISC,MISCELLANEOUS,MISC,MISCELLANEOUS,NA,0.05,0.04,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36309,141,197702,48,1,8,19,NA,S,1.97,1.79,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,AMPHIPODA,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,AMPHIP,AMPHIPODA,NA,0.03,0.02,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36310,141,197702,48,1,8,19,NA,S,1.97,1.79,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,ISOPODA,ARTHRO,ARTHROPODA,ISOPOD,ISOPODA,ISOPOD,ISOPODA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36311,141,197702,48,1,8,19,NA,S,1.97,1.79,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,14,1.94,1.76,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36312,141,197702,48,2,1,19,NA,S,4.6,4.18,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,29,4.3,3.91,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36313,141,197702,48,2,1,19,NA,S,4.6,4.18,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MUNIDA IRIS,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,DECCRA,DECAPODA CRAB,3,0.29,0.27,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36314,141,197702,48,2,2,20,NA,S,4.81,4.37,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CALANOIDA,ARTHRO,ARTHROPODA,COPEPO,COPEPODA,COPEPO,COPEPODA,21,0.01,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36315,141,197702,48,2,2,20,NA,S,4.81,4.37,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,GAMMARIDEA,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,GAMMAR,GAMMARIDEA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36316,141,197702,48,2,2,20,NA,S,4.81,4.37,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,HYPERIIDAE,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,HYPFAM,HYPERIIDAE,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36317,141,197702,48,2,2,20,NA,S,4.81,4.37,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,31,4.75,4.32,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36318,141,197702,48,2,2,20,NA,S,4.81,4.37,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,POLYCHAETA,ANNELI,ANNELIDA,ANNELI,ANNELIDA,POLYCH,POLYCHAETA,1,0.05,0.04,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36319,141,197702,48,2,3,21,NA,S,4.57,4.16,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CEPHALOPODA,MOLLUS,MOLLUSCA,CEPHAL,CEPHALOPODA,CEPHAL,CEPHALOPODA,1,2.8,2.55,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36320,141,197702,48,2,3,21,NA,S,4.57,4.16,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CIRRIPEDIA,ARTHRO,ARTHROPODA,CIRRIP,CIRRIPEDIA,CIRRIP,CIRRIPEDIA,NA,0.02,0.01,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36321,141,197702,48,2,3,21,NA,S,4.57,4.16,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,CRANGON SEPTEMSPINOSA,ARTHRO,ARTHROPODA,DECAPO,DECAPODA,CRAFAM,CRANGONIDAE,1,0.06,0.05,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36322,141,197702,48,2,3,21,NA,S,4.57,4.16,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,MEGANYCTIPHANES NORVEGICA,ARTHRO,ARTHROPODA,EUPFAM,EUPHAUSIACEA,EUPFAM,EUPHAUSIACEA,10,1.7,1.54,CENTROPRISTIS STRIATA,BLACK SEA BASS,
36323,141,197702,48,2,5,16,NA,S,1.49,1.36,,1630,3612,7448,36.2,74.8,3,24,1977,10,SPRING,MAB,AMPELISCA SP,ARTHRO,ARTHROPODA,AMPHIP,AMPHIPODA,GAMMAR,GAMMARIDEA,1,0,0,CENTROPRISTIS STRIATA,BLACK SEA BASS,
